"","Dortmund","BayernMunich","Freiburg","Hamburg","Kaiserslautern","Leverkusen","WerderBremen","EinFrankfurt","Schalke04","Cottbus","Munich1860","Bochum","Hertha","Stuttgart","Unterhaching","Wolfsburg","FCKoln","HansaRostock","M'gladbach","StPauli","Nurnberg","Bielefeld","Hannover","Mainz","Duisburg","Aachen","Karlsruhe","Hoffenheim","Augsburg","GreutherFurth","FortunaDusseldorf","Braunschweig","Paderborn","Darmstadt","Ingolstadt","RBLeipzig"
"Dortmund",0,472,391,286,230,59,199,179,28,477,472,15,412,326,0,253,74,425,82,286,347,95,184,176,48,123,284,271,430,336,56,229,91,201,420,340
"BayernMunich",472,0,279,610,313,458,574,299,495,439,0,481,492,188,0,473,457,654,500,605,139,479,480,316,497,492,253,231,56,148,488,460,443,282,59,352
"Freiburg",391,279,0,639,161,346,569,238,401,624,279,393,631,133,0,536,336,739,371,636,286,452,504,223,389,338,121,157,225,282,374,514,421,216,279,492
"Hamburg",286,610,639,0,485,345,91,401,296,363,610,295,253,536,0,142,360,155,359,6,471,196,137,417,322,405,519,489,590,463,336,150,222,424,550,300
"Kaiserslautern",230,313,161,485,0,187,411,94,241,531,313,232,514,128,0,396,179,597,217,483,242,294,353,69,231,193,65,84,259,233,216,372,264,80,281,388
"Leverkusen",59,458,346,345,187,0,258,159,58,516,458,53,460,297,0,305,15,483,46,345,344,152,239,146,44,69,246,241,412,333,31,280,142,177,410,374
"WerderBremen",199,574,569,91,411,258,0,334,207,402,574,207,303,477,0,150,273,243,269,93,435,117,99,346,232,315,451,426,547,426,247,143,149,357,516,307
"EinFrankfurt",179,299,238,401,94,159,334,0,199,442,299,187,420,148,0,303,158,505,202,399,192,219,266,32,199,198,118,94,254,181,189,280,185,24,253,297
"Schalke04",28,495,401,296,241,58,207,199,0,503,495,14,436,344,0,274,70,440,64,297,372,113,203,193,26,109,298,288,452,361,40,251,115,220,444,367
"Cottbus",477,439,624,363,531,516,402,442,503,0,439,492,114,491,0,254,527,300,556,357,345,401,323,473,525,584,519,477,455,345,530,269,388,451,392,145
"Munich1860",472,0,279,610,313,458,574,299,495,439,0,481,492,188,0,473,457,654,500,605,139,479,480,316,497,492,253,231,56,148,488,460,443,282,59,352
"Bochum",15,481,393,295,232,53,207,187,14,492,481,0,427,332,0,266,67,436,69,295,359,107,197,181,33,111,287,277,439,347,43,243,105,208,430,355
"Hertha",412,492,631,253,514,460,303,420,436,114,492,427,0,502,0,165,473,191,494,248,374,326,239,449,460,529,516,476,496,372,468,186,322,435,438,144
"Stuttgart",326,188,133,536,128,297,477,148,344,491,188,332,502,0,0,420,292,622,334,533,155,364,399,151,340,317,65,56,133,150,328,400,329,125,165,361
"Unterhaching",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolfsburg",253,473,536,142,396,305,150,303,274,254,473,266,165,420,0,0,318,203,335,137,335,162,73,327,299,373,416,380,458,328,309,25,163,323,413,161
"FCKoln",74,457,336,360,179,15,273,158,70,527,457,67,473,292,0,318,0,498,44,360,346,167,253,143,53,57,240,237,410,335,38,294,156,175,411,385
"HansaRostock",425,654,739,155,597,483,243,505,440,300,654,436,191,622,0,203,498,0,504,152,523,331,248,528,466,547,619,583,647,517,479,226,347,526,596,305
"M'gladbach",82,500,371,359,217,46,269,202,64,556,500,69,494,334,0,335,44,504,0,360,389,176,266,186,38,47,280,280,453,378,26,311,173,218,454,416
"StPauli",286,605,636,6,483,345,93,399,297,357,605,295,248,533,0,137,360,152,360,0,466,196,134,415,322,405,516,486,586,458,337,146,220,421,546,294
"Nurnberg",347,139,286,471,242,344,435,192,372,345,139,359,374,155,0,335,346,523,389,466,0,343,341,218,379,390,202,164,124,11,373,322,308,183,80,231
"Bielefeld",95,479,452,196,294,152,117,219,113,401,479,107,326,364,0,162,167,331,176,196,343,0,90,229,139,217,335,312,446,333,150,140,36,242,422,275
"Hannover",184,480,504,137,353,239,99,266,203,323,480,197,239,399,0,73,253,248,266,134,341,90,0,285,229,306,383,352,457,332,240,54,99,288,421,212
"Mainz",176,316,223,417,69,146,346,32,193,473,316,181,449,151,0,327,143,528,186,415,218,229,285,0,189,176,108,96,268,207,177,303,197,35,274,328
"Duisburg",48,497,389,322,231,44,232,199,26,525,497,33,460,340,0,299,53,466,38,322,379,139,229,189,0,83,290,284,452,368,17,275,138,218,448,387
"Aachen",123,492,338,405,193,69,315,198,109,584,492,111,529,317,0,373,57,547,47,405,390,217,306,176,83,0,258,264,442,379,69,349,210,211,449,441
"Karlsruhe",284,253,121,519,65,246,451,118,298,519,253,287,516,65,0,416,240,619,280,516,202,335,383,108,290,258,0,42,198,195,277,393,303,95,227,382
"Hoffenheim",271,231,157,489,84,241,426,94,288,477,231,277,476,56,0,380,237,583,280,486,164,312,352,96,284,264,42,0,179,156,272,359,278,71,198,340
"Augsburg",430,56,225,590,259,412,547,254,452,455,56,439,496,133,0,458,410,647,453,586,124,446,457,268,452,442,198,179,0,130,443,442,410,235,64,352
"GreutherFurth",336,148,282,463,233,333,426,181,361,345,148,347,372,150,0,328,335,517,378,458,11,333,332,207,368,379,195,156,130,0,362,314,298,173,90,228
"FortunaDusseldorf",56,488,374,336,216,31,247,189,40,530,488,43,468,328,0,309,38,479,26,337,373,150,240,177,17,69,277,272,443,362,0,285,147,208,440,391
"Braunschweig",229,460,514,150,372,280,143,280,251,269,460,243,186,400,0,25,294,226,311,146,322,140,54,303,275,349,393,359,442,314,285,0,139,300,400,164
"Paderborn",91,443,421,222,264,142,149,185,115,388,443,105,322,329,0,163,156,347,173,220,308,36,99,197,138,210,303,278,410,298,147,139,0,209,387,255
"Darmstadt",201,282,216,424,80,177,357,24,220,451,282,208,435,125,0,323,175,526,218,421,183,242,288,35,218,211,95,71,235,173,208,300,209,0,239,308
"Ingolstadt",420,59,279,550,281,410,516,253,444,392,59,430,438,165,0,413,411,596,454,546,80,422,421,274,448,449,227,198,64,90,440,400,387,239,0,296
"RBLeipzig",340,352,492,300,388,374,307,297,367,145,352,355,144,361,0,161,385,305,416,294,231,275,212,328,387,441,382,340,352,228,391,164,255,308,296,0
